,allow_forking,commit_count,contributor_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count
0,1.0,430,35,2016-03-23T13:05:09Z,678.0,0.0,MIT License,lmenezes/cerebro,183.0,3331.0,4962.0,2.0,449.0,2022-05-25T02:35:04Z,https://github.com/lmenezes/cerebro,4962.0
1,1.0,444,23,2018-04-22T15:09:47Z,801.0,1.0,GNU General Public License v3.0,pymumu/smartdns,260.0,2007.0,4940.0,8.0,887.0,2022-05-28T07:02:18Z,https://github.com/pymumu/smartdns,4940.0
2,1.0,1536,69,2020-07-22T14:05:15Z,937.0,0.0,GNU Affero General Public License v3.0,Mrs4s/go-cqhttp,159.0,2560.0,4940.0,5.0,964.0,2022-05-28T10:32:28Z,https://github.com/Mrs4s/go-cqhttp,4940.0
3,1.0,1553,34,2013-02-10T11:14:50Z,2473.0,1.0,Not Found,mybatis/generator,6.0,49602.0,4935.0,6.0,362.0,2022-05-26T03:49:13Z,https://github.com/mybatis/generator,4935.0
4,1.0,1235,66,2014-08-23T22:43:31Z,655.0,0.0,MIT License,ansible-semaphore/semaphore,133.0,6777.0,4962.0,7.0,687.0,2022-05-28T08:16:10Z,https://github.com/ansible-semaphore/semaphore,4962.0
5,1.0,13443,317,2016-06-17T21:29:46Z,1264.0,0.0,Other,CommunityToolkit/WindowsCommunityToolkit,354.0,309281.0,4933.0,15.0,0.0,2022-05-28T06:18:32Z,https://github.com/CommunityToolkit/WindowsCommunityToolkit,4933.0
6,1.0,8857,902,2012-01-22T05:30:41Z,1306.0,0.0,Creative Commons Attribution 4.0 International,Fyrd/caniuse,784.0,135008.0,4931.0,0.0,0.0,2022-05-27T09:02:55Z,https://github.com/Fyrd/caniuse,4931.0
7,1.0,145,20,2013-01-09T05:18:22Z,337.0,0.0,ISC License,davecgh/go-spew,58.0,215.0,5010.0,0.0,0.0,2022-05-26T11:47:31Z,https://github.com/davecgh/go-spew,5010.0
8,1.0,51,6,2018-09-11T02:32:09Z,480.0,0.0,Not Found,taichi-framework/TaiChi,114.0,23395.0,4936.0,6.0,0.0,2022-05-28T01:26:02Z,https://github.com/taichi-framework/TaiChi,4936.0
9,1.0,2558,280,2013-07-16T15:06:31Z,1773.0,0.0,Apache License 2.0,prometheus/alertmanager,365.0,41517.0,4929.0,9.0,0.0,2022-05-27T14:43:49Z,https://github.com/prometheus/alertmanager,4929.0
10,1.0,11324,98,2011-04-17T10:43:33Z,1076.0,0.0,Other,jOOQ/jOOQ,2023.0,251489.0,4932.0,20.0,0.0,2022-05-28T02:00:32Z,https://github.com/jOOQ/jOOQ,4932.0
11,1.0,1536,51,2012-09-12T00:41:30Z,886.0,0.0,GNU General Public License v2.0,greatsuspender/thegreatsuspender,382.0,7294.0,4933.0,0.0,0.0,2022-05-27T11:21:09Z,https://github.com/greatsuspender/thegreatsuspender,4933.0
12,1.0,91,7,2016-12-29T17:43:50Z,547.0,0.0,Other,humphd/have-fun-with-machine-learning,8.0,7878.0,4929.0,5.0,0.0,2022-05-27T13:11:11Z,https://github.com/humphd/have-fun-with-machine-learning,4929.0
13,1.0,1785,125,2016-02-21T06:18:25Z,443.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",volatiletech/sqlboiler,70.0,11699.0,4930.0,10.0,0.0,2022-05-26T12:59:10Z,https://github.com/volatiletech/sqlboiler,4930.0
14,1.0,563,50,2013-09-30T18:54:00Z,485.0,0.0,Other,krakenjs/kraken-js,28.0,729.0,4930.0,4.0,0.0,2022-05-20T23:13:34Z,https://github.com/krakenjs/kraken-js,4930.0
15,1.0,2029,411,2017-04-18T19:52:08Z,3761.0,0.0,Apache License 2.0,kubernetes/examples,14.0,17275.0,4945.0,0.0,0.0,2022-05-27T07:46:07Z,https://github.com/kubernetes/examples,4945.0
16,1.0,2497,171,2016-10-21T00:02:23Z,1004.0,0.0,Apache License 2.0,mimblewimble/grin,117.0,21075.0,4939.0,6.0,1338.0,2022-05-27T05:19:58Z,https://github.com/mimblewimble/grin,4939.0
17,1.0,1037,59,2013-05-29T20:39:40Z,491.0,1.0,MIT License,Grsmto/simplebar,136.0,15209.0,4930.0,0.0,501.0,2022-05-28T07:09:38Z,https://github.com/Grsmto/simplebar,4930.0
18,1.0,126,31,2016-02-25T02:32:06Z,191.0,0.0,MIT License,kolodny/immutability-helper,6.0,274.0,4933.0,0.0,129.0,2022-05-28T07:36:10Z,https://github.com/kolodny/immutability-helper,4933.0
19,1.0,1784,102,2011-04-01T03:00:30Z,573.0,0.0,MIT License,wireservice/csvkit,69.0,22096.0,4988.0,0.0,851.0,2022-05-27T22:55:55Z,https://github.com/wireservice/csvkit,4988.0
20,1.0,420,26,2014-12-17T10:11:35Z,416.0,1.0,MIT License,jakearchibald/svgomg,97.0,4235.0,4981.0,0.0,191.0,2022-05-27T19:56:51Z,https://github.com/jakearchibald/svgomg,4981.0
21,1.0,7,,2018-12-31T17:15:07Z,480.0,0.0,Not Found,ecthros/uncaptcha2,3.0,20.0,4925.0,0.0,10.0,2022-05-24T12:10:13Z,https://github.com/ecthros/uncaptcha2,4925.0
22,1.0,3722,62,2014-10-12T19:38:05Z,500.0,1.0,GNU General Public License v2.0,mikf/gallery-dl,537.0,7813.0,4928.0,9.0,2289.0,2022-05-28T05:49:19Z,https://github.com/mikf/gallery-dl,4928.0
23,1.0,8402,171,2011-09-22T10:05:08Z,2707.0,0.0,"BSD 2-Clause ""Simplified"" License",Project-OSRM/osrm-backend,898.0,41917.0,4965.0,11.0,4124.0,2022-05-28T11:06:45Z,https://github.com/Project-OSRM/osrm-backend,4965.0
24,1.0,76,8,2016-07-26T08:00:18Z,1034.0,0.0,Not Found,yipianfengye/android-zxingLibrary,203.0,10170.0,4930.0,0.0,259.0,2022-05-28T08:22:23Z,https://github.com/yipianfengye/android-zxingLibrary,4930.0
25,1.0,2701,145,2015-03-06T14:02:02Z,3001.0,1.0,Other,WebGoat/WebGoat,39.0,101675.0,4939.0,0.0,590.0,2022-05-27T17:55:19Z,https://github.com/WebGoat/WebGoat,4939.0
26,1.0,2066,12,2016-06-06T02:09:03Z,1381.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",fecshop/yii2_fecshop,1.0,9296.0,4939.0,13.0,60.0,2022-05-28T07:55:47Z,https://github.com/fecshop/yii2_fecshop,4939.0
27,1.0,6181,77,2013-11-25T19:38:03Z,628.0,1.0,Apache License 2.0,raphw/byte-buddy,68.0,991925.0,4939.0,7.0,1085.0,2022-05-28T07:36:56Z,https://github.com/raphw/byte-buddy,4939.0
