,allow_forking,commit_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count,contributor_count
0,1.0,87,2017-08-23T17:27:14Z,1479.0,1.0,MIT License,LiuBoyu/blockchain,12.0,75.0,5893.0,1.0,10.0,2022-05-28T11:22:31Z,https://github.com/LiuBoyu/blockchain,5893.0,
1,1.0,126,2014-11-22T23:25:23Z,344.0,0.0,ISC License,vvo/gifify,26.0,7833.0,5899.0,9.0,67.0,2022-05-27T18:07:01Z,https://github.com/vvo/gifify,5899.0,26
2,1.0,7367,2011-01-03T22:42:09Z,434.0,0.0,Apache License 2.0,perkeep/perkeep,403.0,49204.0,5903.0,0.0,1302.0,2022-05-28T10:15:37Z,https://github.com/perkeep/perkeep,5903.0,152
3,1.0,543,2014-04-21T13:50:26Z,1421.0,1.0,Other,bytedeco/javacv,244.0,6781.0,5908.0,8.0,1670.0,2022-05-27T17:12:52Z,https://github.com/bytedeco/javacv,5908.0,71
4,1.0,359,2015-08-05T11:58:14Z,1741.0,0.0,Not Found,rushter/data-science-blogs,8.0,348.0,5887.0,2.0,7.0,2022-05-27T20:20:11Z,https://github.com/rushter/data-science-blogs,5887.0,87
5,1.0,264,2018-05-16T20:02:54Z,1464.0,0.0,GNU Affero General Public License v3.0,yzhao062/anomaly-detection-resources,9.0,222.0,5939.0,13.0,18.0,2022-05-28T00:29:16Z,https://github.com/yzhao062/anomaly-detection-resources,5939.0,18
6,1.0,197,2018-07-01T06:47:48Z,4382.0,0.0,MIT License,dgkanatsios/CKAD-exercises,42.0,189.0,5897.0,4.0,45.0,2022-05-28T09:33:28Z,https://github.com/dgkanatsios/CKAD-exercises,5897.0,115
7,1.0,169,2019-10-19T13:28:07Z,408.0,1.0,Not Found,ripperhe/Bob,88.0,3526.0,5940.0,4.0,308.0,2022-05-28T11:34:17Z,https://github.com/ripperhe/Bob,5940.0,3
8,1.0,133,2015-06-15T10:21:13Z,1436.0,1.0,Not Found,kjw0612/awesome-rnn,4.0,286.0,5897.0,0.0,5.0,2022-05-26T08:27:52Z,https://github.com/kjw0612/awesome-rnn,5897.0,25
9,1.0,42,2019-05-07T20:55:20Z,80.0,0.0,MIT License,mgdm/htmlq,17.0,66.0,5920.0,0.0,28.0,2022-05-27T18:59:20Z,https://github.com/mgdm/htmlq,5920.0,11
10,1.0,1135,2016-08-01T13:46:02Z,628.0,0.0,MIT License,wojtekmaj/react-pdf,58.0,19342.0,5923.0,3.0,0.0,2022-05-28T07:48:28Z,https://github.com/wojtekmaj/react-pdf,5923.0,46
11,1.0,144,2016-02-29T21:48:56Z,424.0,1.0,MIT License,fulldecent/system-bus-radio,11.0,109.0,5886.0,15.0,0.0,2022-05-24T22:31:08Z,https://github.com/fulldecent/system-bus-radio,5886.0,27
12,1.0,11337,2015-08-06T21:46:55Z,916.0,0.0,"BSD 2-Clause ""Simplified"" License",angr/angr,689.0,50797.0,5885.0,4.0,0.0,2022-05-28T01:25:09Z,https://github.com/angr/angr,5885.0,218
13,1.0,1059,2014-11-17T17:39:22Z,2083.0,1.0,Other,SeleniumHQ/docker-selenium,17.0,2011.0,5883.0,7.0,0.0,2022-05-27T17:26:50Z,https://github.com/SeleniumHQ/docker-selenium,5883.0,148
14,1.0,680,2014-12-14T21:24:24Z,656.0,0.0,Creative Commons Attribution Share Alike 4.0 International,oz123/awesome-c,36.0,609.0,5908.0,4.0,0.0,2022-05-27T08:49:35Z,https://github.com/oz123/awesome-c,5908.0,77
15,1.0,39,2015-05-29T06:15:39Z,1150.0,0.0,MIT License,forkingdog/FDFullscreenPopGesture,110.0,1065.0,5880.0,0.0,0.0,2022-05-27T17:03:22Z,https://github.com/forkingdog/FDFullscreenPopGesture,5880.0,8
16,1.0,5732,2012-07-31T13:08:09Z,448.0,0.0,MIT License,ractivejs/ractive,66.0,138618.0,5881.0,0.0,0.0,2022-05-27T12:54:07Z,https://github.com/ractivejs/ractive,5881.0,70
