,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,total_issue_count,commit_count
0,bup/bup,https://github.com/bup/bup,6741,Other,113,5697,6741,412,False,14,0,2012-09-03T22:51:40Z,2022-05-09T15:12:22Z,True,0,2278
1,ajenti/ajenti,https://github.com/ajenti/ajenti,6731,MIT License,20,35647,6731,789,False,12,7,2010-03-03T08:04:15Z,2022-05-09T14:35:46Z,True,1116,1043
2,ymcui/Chinese-BERT-wwm,https://github.com/ymcui/Chinese-BERT-wwm,6932,Apache License 2.0,2,16218,6932,1152,False,0,10,2019-06-19T22:55:01Z,2022-05-09T08:02:37Z,True,215,105
3,kkroening/ffmpeg-python,https://github.com/kkroening/ffmpeg-python,6721,Apache License 2.0,25,4305,6721,661,True,362,0,2017-05-14T05:25:44Z,2022-05-09T13:33:12Z,True,541,454
4,Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,6715,Apache License 2.0,114,44021,6715,381,False,234,7,2013-04-23T15:40:33Z,2022-05-09T12:32:02Z,True,1316,9155
5,rwv/chinese-dos-games,https://github.com/rwv/chinese-dos-games,6769,GNU General Public License v3.0,2,49271,6769,793,False,90,2,2018-08-30T14:12:12Z,2022-05-08T05:48:18Z,True,211,150
6,microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,6704,MIT License,104,22348,6704,794,True,471,9,2020-01-23T18:35:18Z,2022-05-09T15:11:45Z,True,849,946
7,tgalal/yowsup,https://github.com/tgalal/yowsup,6704,GNU General Public License v3.0,87,1984,6704,2233,False,399,0,2012-11-03T19:00:14Z,2022-05-09T14:01:25Z,True,2711,1363
8,jupyterhub/jupyterhub,https://github.com/jupyterhub/jupyterhub,6674,Other,275,23089,6674,1708,False,207,5,2014-06-12T23:22:10Z,2022-05-07T22:09:04Z,True,2092,5661
9,mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,6678,GNU General Public License v3.0,107,164022,6678,687,True,51,15,2018-08-02T17:56:45Z,2022-05-09T17:42:12Z,True,908,5499
10,SirVer/ultisnips,https://github.com/SirVer/ultisnips,6666,GNU General Public License v3.0,176,6940,6666,666,False,88,4,2011-12-30T07:07:24Z,2022-05-09T12:48:04Z,True,1070,1566
11,lazyprogrammer/machine_learning_examples,https://github.com/lazyprogrammer/machine_learning_examples,6722,Not Found,5,22526,6722,5649,True,32,6,2014-07-31T23:40:45Z,2022-05-09T17:57:00Z,True,45,347
12,jupyter/docker-stacks,https://github.com/jupyter/docker-stacks,6625,Other,219,4476,6625,2692,False,48,6,2015-07-15T15:30:00Z,2022-05-09T12:59:24Z,True,739,2888
13,eriklindernoren/PyTorch-YOLOv3,https://github.com/eriklindernoren/PyTorch-YOLOv3,6648,GNU General Public License v3.0,23,16905,6648,2544,False,97,0,2018-05-21T16:05:55Z,2022-05-09T08:09:46Z,True,672,475
14,hugapi/hug,https://github.com/hugapi/hug,6613,MIT License,118,94324,6613,378,True,171,8,2015-07-17T03:33:50Z,2022-05-06T18:19:18Z,True,457,2410
15,schollz/howmanypeoplearearound,https://github.com/schollz/howmanypeoplearearound,6591,MIT License,14,1768,6591,384,False,24,4,2017-05-11T13:06:29Z,2022-05-07T14:08:04Z,True,33,123
16,OctoPrint/OctoPrint,https://github.com/OctoPrint/OctoPrint,6595,GNU Affero General Public License v3.0,242,48667,6595,1539,False,281,5,2012-12-31T12:20:57Z,2022-05-08T14:08:13Z,True,3616,8142
17,ActivityWatch/activitywatch,https://github.com/ActivityWatch/activitywatch,6567,Mozilla Public License 2.0,21,711,6567,330,False,89,9,2016-04-27T15:26:09Z,2022-05-09T15:21:35Z,True,595,802
18,asweigart/pyautogui,https://github.com/asweigart/pyautogui,6583,"BSD 3-Clause ""New"" or ""Revised"" License",51,2596,6583,891,False,392,0,2014-07-17T23:30:38Z,2022-05-09T11:30:20Z,True,560,402
19,great-expectations/great_expectations,https://github.com/great-expectations/great_expectations,6561,Apache License 2.0,289,107553,6561,943,False,217,20,2017-09-11T00:18:46Z,2022-05-09T16:35:42Z,True,1260,8866
20,pymc-devs/pymc,https://github.com/pymc-devs/pymc,6555,Other,383,751360,6555,1576,True,205,8,2009-05-05T09:43:50Z,2022-05-08T18:13:27Z,True,2650,8626
21,edeng23/binance-trade-bot,https://github.com/edeng23/binance-trade-bot,6557,GNU General Public License v3.0,46,514,6557,1900,False,109,0,2019-07-12T16:43:32Z,2022-05-09T03:50:38Z,True,297,308
22,awslabs/aws-shell,https://github.com/awslabs/aws-shell,6543,Apache License 2.0,10,283,6543,721,False,96,4,2015-09-29T19:04:16Z,2022-05-09T08:23:06Z,True,163,235
23,PaddlePaddle/models,https://github.com/PaddlePaddle/models,6469,Apache License 2.0,292,435427,6469,2907,False,916,7,2017-04-20T13:30:15Z,2022-05-09T12:51:05Z,True,1961,4886
24,boto/boto,https://github.com/boto/boto,6469,Other,681,16002,6469,2333,False,1157,0,2010-07-12T19:15:33Z,2022-05-09T08:27:55Z,True,1658,7217
25,axi0mX/ipwndfu,https://github.com/axi0mX/ipwndfu,6483,GNU General Public License v3.0,2,1889,6483,1655,False,158,0,2017-04-09T22:21:26Z,2022-05-09T13:51:20Z,True,259,76
26,pyeve/eve,https://github.com/pyeve/eve,6468,Other,208,19467,6468,746,True,19,4,2012-10-22T07:39:33Z,2022-05-06T13:54:36Z,True,959,3340
27,canonical/microk8s,https://github.com/canonical/microk8s,6436,Apache License 2.0,136,10851,6436,645,False,465,7,2018-05-09T09:19:36Z,2022-05-09T10:44:07Z,True,1858,948
28,QUANTAXIS/QUANTAXIS,https://github.com/QUANTAXIS/QUANTAXIS,6510,MIT License,80,136380,6510,2583,True,193,1,2016-03-29T12:11:19Z,2022-05-09T06:09:43Z,True,471,7470
29,LonamiWebs/Telethon,https://github.com/LonamiWebs/Telethon,6429,MIT License,150,7680,6429,1110,True,94,7,2016-08-26T10:59:24Z,2022-05-09T15:43:42Z,True,1783,2956
