,allow_forking,commit_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count,contributor_count
0,1.0,87,2016-09-25T14:30:32Z,495.0,0.0,Not Found,JinpengLI/deep_ocr,28.0,345.0,1502.0,0.0,45.0,2022-04-28T09:27:19Z,https://github.com/JinpengLI/deep_ocr,1502.0,
1,1.0,380,2011-11-08T23:54:53Z,391.0,1.0,Other,treeio/treeio,49.0,32186.0,1500.0,0.0,119.0,2022-05-07T17:33:10Z,https://github.com/treeio/treeio,1500.0,28
2,1.0,932,2019-05-29T08:33:57Z,297.0,0.0,Apache License 2.0,Delta-ML/delta,2.0,62425.0,1510.0,20.0,75.0,2022-04-26T11:50:39Z,https://github.com/Delta-ML/delta,1510.0,41
3,1.0,429,2018-09-17T23:10:55Z,170.0,0.0,MIT License,pyouroboros/ouroboros,46.0,736.0,1501.0,8.0,0.0,2022-05-09T19:50:58Z,https://github.com/pyouroboros/ouroboros,1501.0,16
4,1.0,31,2020-10-08T19:01:15Z,156.0,0.0,MIT License,lucidrains/lambda-networks,12.0,226.0,1504.0,5.0,27.0,2022-05-06T11:02:39Z,https://github.com/lucidrains/lambda-networks,1504.0,3
5,1.0,981,2016-12-09T04:03:23Z,128.0,0.0,Apache License 2.0,python-bonobo/bonobo,99.0,1573.0,1508.0,6.0,179.0,2022-05-07T01:25:02Z,https://github.com/python-bonobo/bonobo,1508.0,37
6,1.0,20,2018-01-19T18:53:04Z,208.0,0.0,Other,facebookresearch/poincare-embeddings,27.0,398.0,1511.0,0.0,68.0,2022-05-06T14:38:47Z,https://github.com/facebookresearch/poincare-embeddings,1511.0,5
7,1.0,2083,2018-05-11T19:54:04Z,745.0,0.0,Other,awslabs/aws-well-architected-labs,26.0,667525.0,1498.0,10.0,0.0,2022-05-09T17:57:49Z,https://github.com/awslabs/aws-well-architected-labs,1498.0,126
8,1.0,8102,2013-11-04T19:31:59Z,328.0,0.0,Other,cuthbertLab/music21,97.0,441342.0,1499.0,0.0,0.0,2022-05-06T21:38:15Z,https://github.com/cuthbertLab/music21,1499.0,102
9,1.0,1,2019-05-07T14:00:43Z,437.0,0.0,Not Found,nobody132/masr,86.0,87.0,1529.0,4.0,0.0,2022-05-09T02:06:08Z,https://github.com/nobody132/masr,1529.0,
10,1.0,3212,2011-01-28T05:37:55Z,467.0,1.0,Other,nlplab/brat,492.0,86426.0,1500.0,0.0,0.0,2022-05-09T10:48:34Z,https://github.com/nlplab/brat,1500.0,29
11,1.0,937,2019-03-31T09:30:22Z,444.0,0.0,MIT License,subbarayudu-j/TheAlgorithms-Python,18.0,7222.0,1504.0,0.0,0.0,2022-05-09T15:24:26Z,https://github.com/subbarayudu-j/TheAlgorithms-Python,1504.0,225
12,1.0,521,2018-05-14T16:19:41Z,464.0,0.0,Apache License 2.0,voxelmorph/voxelmorph,64.0,132244.0,1501.0,8.0,0.0,2022-05-05T13:05:26Z,https://github.com/voxelmorph/voxelmorph,1501.0,15
13,1.0,264,2012-05-09T13:01:20Z,303.0,1.0,GNU General Public License v3.0,huhamhire/huhamhire-hosts,54.0,191836.0,1497.0,0.0,0.0,2022-04-20T12:31:54Z,https://github.com/huhamhire/huhamhire-hosts,1497.0,6
14,1.0,33,2012-04-27T21:26:49Z,135.0,0.0,"BSD 2-Clause ""Simplified"" License",billzhong/inbox.py,2.0,26.0,1499.0,0.0,0.0,2022-05-03T21:12:36Z,https://github.com/billzhong/inbox.py,1499.0,6
15,1.0,536,2019-08-21T23:17:40Z,144.0,0.0,Creative Commons Attribution 4.0 International,mhxion/awesome-discord-communities,26.0,16753.0,1537.0,8.0,0.0,2022-05-09T17:58:47Z,https://github.com/mhxion/awesome-discord-communities,1537.0,16
16,1.0,145,2018-05-25T22:18:18Z,284.0,0.0,MIT License,thewhiteh4t/pwnedOrNot,2.0,89.0,1505.0,6.0,0.0,2022-05-09T05:59:55Z,https://github.com/thewhiteh4t/pwnedOrNot,1505.0,6
17,1.0,44,2015-11-13T07:41:10Z,535.0,0.0,Apache License 2.0,lijiejie/BBScan,8.0,127.0,1506.0,0.0,0.0,2022-05-07T02:58:04Z,https://github.com/lijiejie/BBScan,1506.0,5
18,1.0,87,2017-06-29T18:15:26Z,54.0,0.0,Other,facebookincubator/xar,8.0,284.0,1498.0,0.0,31.0,2022-05-05T13:43:38Z,https://github.com/facebookincubator/xar,1498.0,34
19,1.0,23,2018-04-02T21:50:07Z,383.0,0.0,MIT License,ozan-oktay/Attention-Gated-Networks,0.0,420.0,1525.0,5.0,0.0,2022-05-08T05:29:33Z,https://github.com/ozan-oktay/Attention-Gated-Networks,1525.0,3
20,1.0,3637,2014-10-19T19:37:45Z,270.0,0.0,MIT License,Fizzadar/pyinfra,100.0,20624.0,1498.0,7.0,567.0,2022-05-07T14:09:31Z,https://github.com/Fizzadar/pyinfra,1498.0,66
21,1.0,706,2016-02-25T14:54:35Z,414.0,0.0,Apache License 2.0,NetEaseGame/ATX,36.0,6622.0,1496.0,5.0,187.0,2022-05-07T19:41:44Z,https://github.com/NetEaseGame/ATX,1496.0,12
