,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,total_issue_count,commit_count,licence
0,zalandoresearch/fashion-mnist,https://github.com/zalandoresearch/fashion-mnist,9967,MIT License,16,108395,9967,2586,False,24,11,2017-08-25T12:05:15Z,2022-04-27T18:39:55Z,True,98,224,
1,Embedding/Chinese-Word-Vectors,https://github.com/Embedding/Chinese-Word-Vectors,9946,Apache License 2.0,3,1477,9946,2176,False,42,6,2018-01-09T09:48:49Z,2022-04-28T08:57:29Z,True,147,133,
2,MorvanZhou/tutorials,https://github.com/MorvanZhou/tutorials,9910,MIT License,9,62652,9910,5608,False,13,9,2016-05-29T13:29:44Z,2022-04-28T07:44:40Z,True,66,541,
3,PySimpleGUI/PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,9863,GNU Lesser General Public License v3.0,18,218325,9863,1489,True,654,20,2018-07-11T18:28:58Z,2022-04-28T09:02:07Z,True,2731,5974,
4,dask/dask,https://github.com/dask/dask,9807,"BSD 3-Clause ""New"" or ""Revised"" License",528,52943,9807,1476,False,730,8,2015-01-04T18:50:00Z,2022-04-28T03:04:06Z,True,4226,7139,
5,ManimCommunity/manim,https://github.com/ManimCommunity/manim,9777,MIT License,310,33485,9777,860,False,343,4,2020-05-19T02:37:13Z,2022-04-28T09:21:38Z,True,1024,5518,
6,alexjc/neural-doodle,https://github.com/alexjc/neural-doodle,9749,GNU Affero General Public License v3.0,4,5380,9749,916,False,50,5,2016-03-05T23:35:18Z,2022-04-28T08:37:24Z,True,0,122,
7,python-pillow/Pillow,https://github.com/python-pillow/Pillow,9714,Other,394,81768,9714,1845,True,124,8,2012-07-24T21:38:39Z,2022-04-28T08:06:02Z,True,2469,13086,
8,Ciphey/Ciphey,https://github.com/Ciphey/Ciphey,9742,MIT License,46,17118,9742,624,False,53,17,2019-07-16T20:20:39Z,2022-04-28T08:19:37Z,True,280,1873,
9,iterative/dvc,https://github.com/iterative/dvc,9633,Apache License 2.0,265,14925,9633,925,False,629,10,2017-03-04T08:16:33Z,2022-04-27T23:18:10Z,True,3619,7456,
10,dbader/schedule,https://github.com/dbader/schedule,9593,MIT License,51,341,9593,842,False,124,0,2013-05-19T12:51:20Z,2022-04-28T03:38:20Z,True,368,381,
11,tflearn/tflearn,https://github.com/tflearn/tflearn,9586,Other,128,1589,9586,2434,False,566,6,2016-03-31T12:05:53Z,2022-04-25T19:07:53Z,True,909,613,
12,frida/frida,https://github.com/frida/frida,9587,Other,39,19170,9587,1090,False,1022,3,2013-04-12T22:35:05Z,2022-04-28T08:46:42Z,True,1961,3686,
13,samuelcolvin/pydantic,https://github.com/samuelcolvin/pydantic,9748,MIT License,258,4367,9748,919,False,566,10,2017-05-03T21:23:58Z,2022-04-28T01:16:05Z,True,1792,1225,
14,Theano/Theano,https://github.com/Theano/Theano,9563,Other,384,68088,9563,2505,False,683,0,2011-08-10T03:48:06Z,2022-04-26T06:27:53Z,True,2667,28127,
